"BAIRRO","2020-02-04","2020-03-04","2020-03-05","2020-03-06","2020-03-09","2020-03-12","2020-03-13","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-25","NA"
"SANTA BARBARA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 2"," 3"," 3"," 3"," 3"," 3"," 3"," 3"," 3"," 5"," 5"," 5"," 6"," 7"," 8","10","10","10","10","10","11","14","15","15","15","15","15","16","16","16","16","16","16","16","16","16","16","16","16","16"
"SANTA ROSA","  0","  0","  0","  0","  0","  0","  0","  1","  1","  1","  2","  2","  2","  2","  2","  2","  2","  2","  2","  2","  3","  3","  4","  5","  5","  5","  6","  7","  8","  9"," 10"," 12"," 14"," 15"," 15"," 19"," 19"," 24"," 27"," 27"," 29"," 31"," 36"," 37"," 38"," 38"," 43"," 43"," 45"," 49"," 52"," 57"," 63"," 63"," 64"," 67"," 75"," 78"," 84"," 86"," 95"," 96"," 96","100","105","112","115","116","117","117","117","117","118","118","118","118","119"
"SANTANA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"SANTO ANTONIO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"SAO DOMINGOS"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 3"," 3"," 4"," 4"," 5"," 5"," 6"," 6"," 6"," 6"," 7"," 7"," 7"," 7"," 7"," 7"," 7"," 8"," 9"," 9","10","10","10","10","10","11","12","12","12","12","12","12","12","12","12","12","12"
"SAO FRANCISCO"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 2"," 2"," 2"," 2"," 2"," 4"," 6"," 6"," 6"," 6"," 7"," 7"," 7"," 9","10","11","11","13","14","16","18","21","21","23","25","25","26","26","28","28","32","32","32","33","39","49","50","53","56","56","56","58","60","61","62","64","64","64","64","64","64","64","64","64","66"
"SAO LOURENCO"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 3"," 3"," 3"," 3"," 3"," 3"," 4"," 4"," 5"," 6"," 6"," 6"," 6"," 6"," 7"," 7"," 7"," 7"," 7"," 7"," 7"," 7"," 7"," 7"," 7"," 7"," 8"," 9","10","10","10","11","11","12","13","13","13","13","13","13","13","13","13","13","13"
"SAPE"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 3"," 3"," 3"," 4"," 4"," 4"," 4"," 4"," 5"," 5"," 5"," 5"," 6"," 6"," 7"," 7"," 7"," 7"," 7"," 8"," 9","11","13","14","14","15","15","16","17","17","17","17","18","18","18","18","18","18","18"
"SERRA GRANDE"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 2"," 3"," 3"," 3"," 3"," 6"," 6"," 6"," 6"," 6"," 6"," 6"," 6"," 8"," 8"," 9"," 9"," 9","10","10","12","12","12","12","12","12","13","13","13","13","13","14"
"TENENTE JARDIM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"VARZEA DAS MOCAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","4","5","5","5","5","5","5","6","7","7","9","9","9","9","9","9","9","9","9","9","9"
"VICOSO JARDIM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","3","3","3","3","3","7","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"VILA PROGRESSO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","3","3","3","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5"
"VIRADOURO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","6","6"
"VITAL BRAZIL"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 2"," 2"," 2"," 2"," 2"," 2"," 3"," 3"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 5"," 5"," 5"," 7"," 7"," 7"," 7"," 7"," 8","10","11","11","11","11","12","12","12","12","12","12","12","12","12","12","12","12","12","13"
